index,File_Name,File_Description,date_published,flmd_filename,flmd_source
261,*_Air_Press_Temp.csv,Approximately 35 days of time series data (barometric pressure; air temperature) collected using In Situ Rugged BaroTROLL sensors. The asterisk * refers to the Parent_ID. All data was removed from the day of deployment and the day of retrieving the sensor. One to two hours of data were also removed during sample collection because the sensor was disturbed during this time.,2023-04-14,SSS_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSS_Data_Package/SSS_Data_Package/SSS_flmd.csv
464,*_Air_Press_Temp.csv,Approximately 35 days of time series data (barometric pressure; air temperature) collected using In Situ Rugged BaroTROLL sensors. The asterisk * refers to the Parent_ID. All data was removed from the day of deployment and the day of retrieving the sensor. One to two hours of data were also removed during sample collection because the sensor was disturbed during this time.,2023-09-20,v2_SSS_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSS_Data_Package_v2/v2_SSS_Data_Package/v2_SSS_flmd.csv
588,*_Air_Press_Temp.csv,Approximately 71 days of time series data (barometric pressure; air temperature) collected using In Situ Rugged BaroTROLL sensors. The asterisk * refers to the Parent_ID. All data was removed from the day of deployment and two hours were removed from the day of retrieving the sensor. SSF_10 had an additional two hours of data removed from the beginning to remove extraneous data.,2023-11-14,SSF_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSF_Data_Package/SSF_Data_Package/SSF_flmd.csv
1135,*_Air_Press_Temp.csv,Approximately 71 days of time series data (barometric pressure; air temperature) collected using In Situ Rugged BaroTROLL sensors. The asterisk * refers to the Parent_ID and version number. All data was removed from the day of deployment and two hours were removed from the day of retrieving the sensor. SSF_10 had an additional day of data removed from the beginning to remove extraneous data.,2025-06-30,v2_SSF_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSF_Data_Package_v2/v2_SSF_Data_Package/v2_SSF_flmd.csv
1134,*_Air_Press.csv,Approximately 71 days of time series data (barometric pressure) interpolated from In Situ Rugged BaroTROLL sensors. The asterisk * refers to the Parent_ID and version number.  All data was removed from the day of deployment and two hours was removed from the day of retrieving the sensor. Sensors were deployed at a subset of sites; data at other sites were interpolated via a regression analysis. Each measured time point was used to create a linear regression. Measured pressure at each time point was regressed with site elevation. Pressure for the sites without a sensor was then estimated by inputting the site elevation into the resulting linear regression equation for each time point. Temperature was not estimated for sites without a sensor.,2025-06-30,v2_SSF_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSF_Data_Package_v2/v2_SSF_Data_Package/v2_SSF_flmd.csv
145,*_Blank_*. xml,"Raw FTICR-MS instrument files associated with blanks. The first asterisk * refers to the type of blank. The second asterisk refers to the replicate number followed by ""p"" and the ion accumulation time. Blanks from the field included field Milli-Q water blanks (Field_MilliQ_Blank-1, -2, -3), field bucket blanks (i.e. blanks containing Milli-Q water that had been swirled around the water collection bucket as if it was sample water; Field_Bucket_Blank-1, -2, -3), and field GO-FLO blanks (i.e. blanks containing Milli-Q water that has been swirled around the GO-FLO water collection device as if it was sample water; Field_GOFLO_Blank-1, -2, -3). Laboratory blanks included raw laboratory Milli-Q water blanks and laboratory process blanks (i.e., laboratory Milli-Q water that underwent the same sample preparation procedures as the regular samples in the laboratory).",2022-11-11,WHONDRS_STL_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/WHONDRS_STL_Data_Package/WHONDRS_STL_Data_Package/WHONDRS_STL_flmd.csv
976,*_Blank_*. xml,"Raw FTICR-MS instrument files associated with blanks. The first asterisk * refers to the type of blank. The second asterisk refers to the replicate number followed by ""p"" and the ion accumulation time. Blanks from the field included field Milli-Q water blanks (Field_MilliQ_Blank-1, -2, -3), field bucket blanks (i.e. blanks containing Milli-Q water that had been swirled around the water collection bucket as if it was sample water; Field_Bucket_Blank-1, -2, -3), and field GO-FLO blanks (i.e. blanks containing Milli-Q water that has been swirled around the GO-FLO water collection device as if it was sample water; Field_GOFLO_Blank-1, -2, -3). Laboratory blanks included raw laboratory Milli-Q water blanks and laboratory process blanks (i.e., laboratory Milli-Q water that underwent the same sample preparation procedures as the regular samples in the laboratory).",2025-04-21,v2_WHONDRS_STL_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/WHONDRS_STL_Data_Package_v2/v2_WHONDRS_STL_Data_Package/v2_WHONDRS_STL_flmd.csv
279,*_CottonStrip_*,Field photos and videos to show the cotton strip set-up and appearance after retrieval. The first asterisk (*) refers to the Parent_ID. The second asterisk (*) indicates the file extension.,2023-04-14,SSS_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSS_Data_Package/SSS_Data_Package/SSS_flmd.csv
469,*_CottonStrip_*,Field photos and videos to show the cotton strip set-up and appearance after retrieval. The first asterisk (*) refers to the Parent_ID. The second asterisk (*) indicates the file extension.,2023-09-20,v2_SSS_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSS_Data_Package_v2/v2_SSS_Data_Package/v2_SSS_flmd.csv
773,*_CottonStrip_*,Field photos and videos to show the cotton strip set-up and appearance after retrieval. The first asterisk (*) refers to the Parent_ID. The second asterisk (*) indicates the file extension.,2024-10-22,v3_SSS_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSS_Data_Package_v3/v3_SSS_Data_Package/v3_SSS_flmd.csv
